,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total.1
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Grass,4,4,,4,4,4,4,4,4,4,4,4,4,4
Fire,4,4,,3,4,4,4,4,4,4,4,4,4,4
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Bug,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,3,3,,0,3,3,3,3,3,3,3,3,3,3
Bug,5,5,,5,5,5,5,5,5,5,5,5,5,5
Normal,5,5,,4,5,5,5,5,5,5,5,5,5,5
Normal,3,3,,2,3,3,3,3,3,3,3,3,3,3
Poison,2,2,,0,2,2,2,2,2,2,2,2,2,2
Electric,2,2,,0,2,2,2,2,2,2,2,2,2,2
Ground,2,2,,0,2,2,2,2,2,2,2,2,2,2
Poison,1,1,,0,1,1,1,1,1,1,1,1,1,1
Poison,5,5,,2,5,5,5,5,5,5,5,5,5,5
Fairy,2,2,,0,2,2,2,2,2,2,2,2,2,2
Fire,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,2,2,,2,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Poison,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,4,4,,4,4,4,4,4,4,4,4,4,4,4
Grass,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ground,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fighting,2,2,,0,2,2,2,2,2,2,2,2,2,2
Fire,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,3,3,,1,3,3,3,3,3,3,3,3,3,3
Fighting,3,3,,0,3,3,3,3,3,3,3,3,3,3
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Grass,3,3,,3,3,3,3,3,3,3,3,3,3,3
Water,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fire,2,2,,0,2,2,2,2,2,2,2,2,2,2
Rock,3,3,,3,3,3,3,3,3,3,3,3,3,3
Electric,2,2,,2,2,2,2,2,2,2,2,2,2,2
Water,3,3,,3,3,3,3,3,3,3,3,3,3,3
Normal,3,3,,3,3,3,3,3,3,3,3,3,3,3
Water,2,2,,1,2,2,2,2,2,2,2,2,2,2
Ghost,1,1,,1,1,1,1,1,1,1,1,1,1,1
Poison,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,2,2,,1,2,2,2,2,2,2,2,2,2,2
Ghost,3,3,,3,3,3,3,3,3,3,3,3,3,3
Psychic,1,1,,0,1,1,1,1,1,1,1,1,1,1
Rock,1,1,,1,1,1,1,1,1,1,1,1,1,1
Electric,2,2,,0,2,2,2,2,2,2,2,2,2,2
Psychic,1,1,,0,1,1,1,1,1,1,1,1,1,1
Water,2,2,,0,2,2,2,2,2,2,2,2,2,2
Fighting,1,1,,0,1,1,1,1,1,1,1,1,1,1
Grass,2,2,,2,2,2,2,2,2,2,2,2,2,2
Ground,2,2,,0,2,2,2,2,2,2,2,2,2,2
Fighting,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ground,1,1,,1,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Poison,2,2,,0,2,2,2,2,2,2,2,2,2,2
Grass,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ground,1,1,,1,1,1,1,1,1,1,1,1,1,1
Normal,3,3,,0,3,3,3,3,3,3,3,3,3,3
Water,5,5,,0,5,5,5,5,5,5,5,5,5,5
Bug,1,1,,1,1,1,1,1,1,1,1,1,1,1
Electric,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ice,1,1,,1,1,1,1,1,1,1,1,1,1,1
Psychic,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,1,1,,1,1,1,1,1,1,1,1,1,1,1
Bug,2,2,,1,2,2,2,2,2,2,2,2,2,2
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,3,3,,3,3,3,3,3,3,3,3,3,3,3
Electric,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Rock,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Rock,5,5,,5,5,5,5,5,5,5,5,5,5,5
Dragon,1,1,,0,1,1,1,1,1,1,1,1,1,1
Electric,1,1,,1,1,1,1,1,1,1,1,1,1,1
Fire,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ice,1,1,,1,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Dragon,2,2,,1,2,2,2,2,2,2,2,2,2,2
Psychic,3,3,,1,3,3,3,3,3,3,3,3,3,3
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Grass,3,3,,0,3,3,3,3,3,3,3,3,3,3
Psychic,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fire,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,3,3,,0,3,3,3,3,3,3,3,3,3,3
Bug,1,1,,1,1,1,1,1,1,1,1,1,1,1
Normal,4,4,,2,4,4,4,4,4,4,4,4,4,4
Bug,3,3,,3,3,3,3,3,3,3,3,3,3,3
Poison,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,1,1,,1,1,1,1,1,1,1,1,1,1,1
Electric,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fairy,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,1,1,,1,1,1,1,1,1,1,1,1,1,1
Electric,2,2,,0,2,2,2,2,2,2,2,2,2,2
Fairy,1,1,,1,1,1,1,1,1,1,1,1,1,1
Psychic,2,2,,2,2,2,2,2,2,2,2,2,2,2
Electric,2,2,,1,2,2,2,2,2,2,2,2,2,2
Grass,1,1,,0,1,1,1,1,1,1,1,1,1,1
Water,2,2,,2,2,2,2,2,2,2,2,2,2,2
Grass,3,3,,3,3,3,3,3,3,3,3,3,3,3
Rock,1,1,,0,1,1,1,1,1,1,1,1,1,1
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Bug,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Water,1,1,,1,1,1,1,1,1,1,1,1,1,1
Dark,2,2,,1,2,2,2,2,2,2,2,2,2,2
Psychic,1,1,,0,1,1,1,1,1,1,1,1,1,1
Water,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ghost,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Bug,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ground,1,1,,1,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Steel,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fairy,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,1,1,,1,1,1,1,1,1,1,1,1,1,1
Bug,3,3,,3,3,3,3,3,3,3,3,3,3,3
Dark,1,1,,1,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fire,2,2,,1,2,2,2,2,2,2,2,2,2,2
Ice,2,2,,2,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ice,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,4,4,,2,4,4,4,4,4,4,4,4,4,4
Dark,3,3,,3,3,3,3,3,3,3,3,3,3,3
Steel,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ground,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,3,3,,0,3,3,3,3,3,3,3,3,3,3
Electric,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fighting,2,2,,0,2,2,2,2,2,2,2,2,2,2
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ice,1,1,,1,1,1,1,1,1,1,1,1,1,1
Electric,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Psychic,1,1,,1,1,1,1,1,1,1,1,1,1,1
Rock,4,4,,4,4,4,4,4,4,4,4,4,4,4
Fire,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,3,3,,0,3,3,3,3,3,3,3,3,3,3
Psychic,1,1,,1,1,1,1,1,1,1,1,1,1,1
Fire,4,4,,3,4,4,4,4,4,4,4,4,4,4
Grass,1,1,,1,1,1,1,1,1,1,1,1,1,1
Dark,1,1,,0,1,1,1,1,1,1,1,1,1,1
Water,4,4,,3,4,4,4,4,4,4,4,4,4,4
Bug,2,2,,0,2,2,2,2,2,2,2,2,2,2
Dark,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,2,2,,0,2,2,2,2,2,2,2,2,2,2
Bug,3,3,,2,3,3,3,3,3,3,3,3,3,3
Water,2,2,,2,2,2,2,2,2,2,2,2,2,2
Grass,3,3,,2,3,3,3,3,3,3,3,3,3,3
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,1,1,,1,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Psychic,2,2,,2,2,2,2,2,2,2,2,2,2,2
Water,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,2,2,,2,2,2,2,2,2,2,2,2,2,2
Grass,1,1,,0,1,1,1,1,1,1,1,1,1,1
Psychic,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,1,1,,1,1,1,1,1,1,1,1,1,1,1
Normal,3,3,,0,3,3,3,3,3,3,3,3,3,3
Bug,2,2,,2,2,2,2,2,2,2,2,2,2,2
Normal,3,3,,0,3,3,3,3,3,3,3,3,3,3
Fighting,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,2,2,,1,2,2,2,2,2,2,2,2,2,2
Rock,1,1,,0,1,1,1,1,1,1,1,1,1,1
Dark,2,2,,2,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Steel,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fighting,1,1,,1,1,1,1,1,1,1,1,1,1,1
Steel,4,4,,3,4,4,4,4,4,4,4,4,4,4
Electric,3,3,,0,3,3,3,3,3,3,3,3,3,3
Fighting,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,2,2,,0,2,2,2,2,2,2,2,2,2,2
Electric,2,2,,0,2,2,2,2,2,2,2,2,2,2
Grass,1,1,,1,1,1,1,1,1,1,1,1,1,1
Poison,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,3,3,,3,3,3,3,3,3,3,3,3,3,3
Fire,3,3,,3,3,3,3,3,3,3,3,3,3,3
Water,2,2,,0,2,2,2,2,2,2,2,2,2,2
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ground,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Grass,2,2,,1,2,2,2,2,2,2,2,2,2,2
Ground,2,2,,2,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Dragon,2,2,,2,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Poison,1,1,,0,1,1,1,1,1,1,1,1,1,1
Rock,1,1,,1,1,1,1,1,1,1,1,1,1,1
Rock,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,4,4,,3,4,4,4,4,4,4,4,4,4,4
Ground,2,2,,2,2,2,2,2,2,2,2,2,2,2
Rock,3,3,,3,3,3,3,3,3,3,3,3,3,3
Normal,2,2,,0,2,2,2,2,2,2,2,2,2,2
Rock,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,2,2,,0,2,2,2,2,2,2,2,2,2,2
Ghost,5,5,,0,5,5,5,5,5,5,5,5,5,5
Dark,2,2,,0,2,2,2,2,2,2,2,2,2,2
Grass,1,1,,1,1,1,1,1,1,1,1,1,1,1
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Ice,5,5,,2,5,5,5,5,5,5,5,5,5,5
Ice,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,4,4,,1,4,4,4,4,4,4,4,4,4,4
Dragon,4,4,,2,4,4,4,4,4,4,4,4,4,4
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Rock,1,1,,0,1,1,1,1,1,1,1,1,1,1
Steel,4,4,,4,4,4,4,4,4,4,4,4,4,4
Dragon,3,3,,3,3,3,3,3,3,3,3,3,3,3
Ice,1,1,,0,1,1,1,1,1,1,1,1,1,1
Steel,1,1,,0,1,1,1,1,1,1,1,1,1,1
Dragon,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ground,2,2,,1,2,2,2,2,2,2,2,2,2,2
Water,2,2,,0,2,2,2,2,2,2,2,2,2,2
Dragon,2,2,,2,2,2,2,2,2,2,2,2,2,2
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Steel,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,3,3,,1,3,3,3,3,3,3,3,3,3,3
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Fire,3,3,,2,3,3,3,3,3,3,3,3,3,3
Water,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,4,4,,3,4,4,4,4,4,4,4,4,4,4
Water,1,1,,1,1,1,1,1,1,1,1,1,1,1
Bug,2,2,,0,2,2,2,2,2,2,2,2,2,2
Electric,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Electric,1,1,,0,1,1,1,1,1,1,1,1,1,1
Grass,2,2,,2,2,2,2,2,2,2,2,2,2,2
Rock,2,2,,0,2,2,2,2,2,2,2,2,2,2
Bug,3,3,,2,3,3,3,3,3,3,3,3,3,3
Rock,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,4,4,,4,4,4,4,4,4,4,4,4,4,4
Electric,1,1,,0,1,1,1,1,1,1,1,1,1,1
Grass,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,3,3,,0,3,3,3,3,3,3,3,3,3,3
Ghost,2,2,,2,2,2,2,2,2,2,2,2,2,2
Normal,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,1,1,,1,1,1,1,1,1,1,1,1,1,1
Dark,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ghost,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,3,3,,1,3,3,3,3,3,3,3,3,3,3
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Poison,2,2,,2,2,2,2,2,2,2,2,2,2,2
Psychic,1,1,,0,1,1,1,1,1,1,1,1,1,1
Steel,1,1,,1,1,1,1,1,1,1,1,1,1,1
Normal,2,2,,1,2,2,2,2,2,2,2,2,2,2
Psychic,1,1,,1,1,1,1,1,1,1,1,1,1,1
Rock,1,1,,0,1,1,1,1,1,1,1,1,1,1
Steel,1,1,,1,1,1,1,1,1,1,1,1,1,1
Dragon,4,4,,4,4,4,4,4,4,4,4,4,4,4
Ghost,1,1,,1,1,1,1,1,1,1,1,1,1,1
Fighting,3,3,,2,3,3,3,3,3,3,3,3,3,3
Ground,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ground,1,1,,0,1,1,1,1,1,1,1,1,1,1
Poison,4,4,,4,4,4,4,4,4,4,4,4,4,4
Grass,2,2,,1,2,2,2,2,2,2,2,2,2,2
Water,3,3,,1,3,3,3,3,3,3,3,3,3,3
Dark,1,1,,1,1,1,1,1,1,1,1,1,1,1
Electric,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,2,2,,2,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Electric,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fairy,1,1,,1,1,1,1,1,1,1,1,1,1,1
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Grass,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ground,1,1,,1,1,1,1,1,1,1,1,1,1,1
Bug,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ground,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ice,2,2,,1,2,2,2,2,2,2,2,2,2,2
Ghost,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Psychic,2,2,,2,2,2,2,2,2,2,2,2,2,2
Rock,1,1,,1,1,1,1,1,1,1,1,1,1,1
Electric,4,4,,4,4,4,4,4,4,4,4,4,4,4
Ice,1,1,,1,1,1,1,1,1,1,1,1,1,1
Electric,2,2,,2,2,2,2,2,2,2,2,2,2,2
Psychic,3,3,,0,3,3,3,3,3,3,3,3,3,3
Fire,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ghost,1,1,,1,1,1,1,1,1,1,1,1,1,1
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Steel,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,1,1,,1,1,1,1,1,1,1,1,1,1,1
Dark,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ghost,1,1,,1,1,1,1,1,1,1,1,1,1,1
Psychic,1,1,,0,1,1,1,1,1,1,1,1,1,1
Water,2,2,,0,2,2,2,2,2,2,2,2,2,2
Grass,3,3,,1,3,3,3,3,3,3,3,3,3,3
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Psychic,1,1,,1,1,1,1,1,1,1,1,1,1,1
Fire,3,3,,2,3,3,3,3,3,3,3,3,3,3
Grass,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,3,3,,0,3,3,3,3,3,3,3,3,3,3
Dark,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,3,3,,0,3,3,3,3,3,3,3,3,3,3
Fire,2,2,,0,2,2,2,2,2,2,2,2,2,2
Grass,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,2,2,,2,2,2,2,2,2,2,2,2,2,2
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Electric,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Rock,2,2,,0,2,2,2,2,2,2,2,2,2,2
Ground,2,2,,1,2,2,2,2,2,2,2,2,2,2
Psychic,2,2,,2,2,2,2,2,2,2,2,2,2,2
Rock,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fighting,3,3,,0,3,3,3,3,3,3,3,3,3,3
Normal,2,2,,1,2,2,2,2,2,2,2,2,2,2
Fighting,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,3,3,,2,3,3,3,3,3,3,3,3,3,3
Bug,5,5,,5,5,5,5,5,5,5,5,5,5,5
Bug,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,4,4,,2,4,4,4,4,4,4,4,4,4,4
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ground,3,3,,3,3,3,3,3,3,3,3,3,3,3
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Bug,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fire,2,2,,1,2,2,2,2,2,2,2,2,2,2
Grass,1,1,,0,1,1,1,1,1,1,1,1,1,1
Dark,2,2,,2,2,2,2,2,2,2,2,2,2,2
Ghost,2,2,,0,2,2,2,2,2,2,2,2,2,2
Psychic,1,1,,1,1,1,1,1,1,1,1,1,1,1
Poison,1,1,,0,1,1,1,1,1,1,1,1,1,1
Rock,2,2,,2,2,2,2,2,2,2,2,2,2,2
Water,2,2,,2,2,2,2,2,2,2,2,2,2,2
Dark,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,2,2,,0,2,2,2,2,2,2,2,2,2,2
Poison,1,1,,0,1,1,1,1,1,1,1,1,1,1
Psychic,5,5,,0,5,5,5,5,5,5,5,5,5,5
Ice,2,2,,0,2,2,2,2,2,2,2,2,2,2
Psychic,1,1,,0,1,1,1,1,1,1,1,1,1,1
Water,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,1,1,,0,1,1,1,1,1,1,1,1,1,1
Electric,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ice,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,2,2,,2,2,2,2,2,2,2,2,2,2,2
Water,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,2,2,,2,2,2,2,2,2,2,2,2,2,2
Grass,2,2,,2,2,2,2,2,2,2,2,2,2,2
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Electric,2,2,,0,2,2,2,2,2,2,2,2,2,2
Steel,3,3,,0,3,3,3,3,3,3,3,3,3,3
Electric,1,1,,0,1,1,1,1,1,1,1,1,1,1
Ghost,2,2,,2,2,2,2,2,2,2,2,2,2,2
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Dragon,3,3,,0,3,3,3,3,3,3,3,3,3,3
Ghost,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ice,1,1,,0,1,1,1,1,1,1,1,1,1,1
Bug,2,2,,0,2,2,2,2,2,2,2,2,2,2
Ground,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ice,2,2,,0,2,2,2,2,2,2,2,2,2,2
Dragon,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fighting,2,2,,0,2,2,2,2,2,2,2,2,2,2
Ground,2,2,,2,2,2,2,2,2,2,2,2,2,2
Dark,2,2,,2,2,2,2,2,2,2,2,2,2,2
Normal,3,3,,2,3,3,3,3,3,3,3,3,3,3
Bug,1,1,,1,1,1,1,1,1,1,1,1,1,1
Dark,3,3,,3,3,3,3,3,3,3,3,3,3,3
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Bug,2,2,,2,2,2,2,2,2,2,2,2,2,2
Dark,2,2,,2,2,2,2,2,2,2,2,2,2,2
Steel,1,1,,1,1,1,1,1,1,1,1,1,1,1
Electric,1,1,,1,1,1,1,1,1,1,1,1,1,1
Flying,2,2,,0,2,2,2,2,2,2,2,2,2,2
Grass,1,1,,1,1,1,1,1,1,1,1,1,1,1
Rock,1,1,,1,1,1,1,1,1,1,1,1,1,1
Dragon,2,2,,2,2,2,2,2,2,2,2,2,2,2
Electric,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ground,2,2,,2,2,2,2,2,2,2,2,2,2,2
Dragon,3,3,,3,3,3,3,3,3,3,3,3,3,3
Water,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fire,3,3,,1,3,3,3,3,3,3,3,3,3,3
Grass,1,1,,1,1,1,1,1,1,1,1,1,1,1
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Normal,3,3,,2,3,3,3,3,3,3,3,3,3,3
Water,2,2,,1,2,2,2,2,2,2,2,2,2,2
Bug,3,3,,1,3,3,3,3,3,3,3,3,3,3
Fire,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fairy,3,3,,0,3,3,3,3,3,3,3,3,3,3
Fire,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fighting,2,2,,1,2,2,2,2,2,2,2,2,2,2
Grass,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,0,1,1,1,1,1,1,1,1,1,1
Psychic,3,3,,0,3,3,3,3,3,3,3,3,3,3
Steel,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fairy,3,3,,0,3,3,3,3,3,3,3,3,3,3
Steel,2,2,,2,2,2,2,2,2,2,2,2,2,2
Dark,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fairy,1,1,,0,1,1,1,1,1,1,1,1,1,1
Rock,2,2,,2,2,2,2,2,2,2,2,2,2,2
Electric,1,1,,1,1,1,1,1,1,1,1,1,1,1
Poison,2,2,,2,2,2,2,2,2,2,2,2,2,2
Water,2,2,,0,2,2,2,2,2,2,2,2,2,2
Electric,1,1,,1,1,1,1,1,1,1,1,1,1,1
Rock,4,4,,4,4,4,4,4,4,4,4,4,4,4
Dragon,1,1,,0,1,1,1,1,1,1,1,1,1,1
Electric,1,1,,1,1,1,1,1,1,1,1,1,1,1
Fairy,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fighting,1,1,,1,1,1,1,1,1,1,1,1,1,1
Rock,1,1,,1,1,1,1,1,1,1,1,1,1,1
Dragon,2,2,,0,2,2,2,2,2,2,2,2,2,2
Ghost,2,2,,2,2,2,2,2,2,2,2,2,2,2
Steel,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ghost,5,5,,5,5,5,5,5,5,5,5,5,5,5
Ghost,3,3,,3,3,3,3,3,3,3,3,3,3,3
Ice,2,2,,0,2,2,2,2,2,2,2,2,2,2
Dark,1,1,,1,1,1,1,1,1,1,1,1,1,1
Dragon,1,1,,1,1,1,1,1,1,1,1,1,1,1
Fairy,1,1,,0,1,1,1,1,1,1,1,1,1,1
Flying,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fire,1,1,,1,1,1,1,1,1,1,1,1,1,1
Psychic,2,2,,2,2,2,2,2,2,2,2,2,2,2
Rock,2,2,,2,2,2,2,2,2,2,2,2,2,2
